flightnumber,flightdeparturetime,airport,flightcost
Alaska 5,9:15:00 AM,DCA,169
Alaska 5,9:15:00 AM,DCA,169
Spirit Airlines 141,8:20:00 AM,BWI,118.13
American Airlines 245,5:15:00 PM,DCA,181
Spirit Airlines 141,8:20:00 AM,BWI,118.13
Spirit Airlines 141,8:20:00 AM,BWI,118.13
Alaska 5,9:15:00 AM,DCA,169
Alaska 5,9:15:00 AM,DCA,169
Alaska 5,9:15:00 AM,DCA,181
Virgin America 89,9:00:00 AM,IAD,369
Alaska 5,9:15:00 AM,DCA,169
Spirit Airlines 141,8:20:00 AM,BWI,118.13
American Airlines 245,5:15:00 PM,DCA,181
American Airlines 245,5:15:00 PM,DCA,181
American Airlines 245,5:15:00 PM,DCA,181
Virgin America Flight 89,9:00:00 AM,IAD,181
Alaska 5,9:15:00 AM,DCA,181
United Airlines 632,12:30:00 PM,IAD,360.2
Spirit Airlines 141,8:20:00 AM,BWI,99
Alaska 739,7:40:00 AM,DCA,99
Spirit Airlines 141,8:20:00 AM,BWI,99
Spirit Airlines 141,8:20:00 AM,BWI,99
American Airlines 245,5:15:00 PM,DCA,181
Spirit Airlines 141,8:20:00 AM,BWI,99
Spirit Airlines 141,8:20:00 AM,BWI,99
Spirit Airlines 141,8:20:00 AM,BWI,99
Frontier 719/409,5:00:00 PM,DCA,128
Virgin America Flight 89,9:00:00 AM,IAD,181
American Airlines 245,5:15:00 PM,DCA,181
Alaska 5,9:15:00 AM,DCA,181
American Airlines 2237,7:00:00 PM,DCA,156
Spirit Airlines 141,8:20:00 AM,BWI,99
Virgin America Flight 89,9:00:00 AM,IAD,181
